INFO 2023-10-31 08:17:25,369 autoreload Watching for file changes with StatReloader
DEBUG 2023-10-31 08:17:25,369 autoreload Waiting for apps ready_event.
DEBUG 2023-10-31 08:17:25,463 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2023-10-31 08:17:25,492 autoreload Watching dir C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2023-10-31 08:17:25,493 autoreload Watching dir C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\simple_history\templates with glob **/*.
DEBUG 2023-10-31 08:17:25,494 autoreload Watching dir C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\locale with glob **/*.mo.
DEBUG 2023-10-31 08:17:25,494 autoreload Watching dir C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2023-10-31 08:17:25,494 autoreload Watching dir C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2023-10-31 08:17:25,494 autoreload Watching dir C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\simple_history\locale with glob **/*.mo.
DEBUG 2023-10-31 08:17:25,496 autoreload Watching dir C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\apps\guardian\locale with glob **/*.mo.
DEBUG 2023-10-31 08:17:25,496 autoreload Watching dir C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\apps\rocket\locale with glob **/*.mo.
DEBUG 2023-10-31 08:17:25,699 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1698461229.8542666
DEBUG 2023-10-31 08:17:25,699 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\utils\inspect.py first seen with mtime 1698461230.1243753
DEBUG 2023-10-31 08:17:25,699 autoreload File C:\Python311\Lib\functools.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,699 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1698461229.681679
DEBUG 2023-10-31 08:17:25,699 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\db\backends\sqlite3\introspection.py first seen with mtime 1698461229.83861
DEBUG 2023-10-31 08:17:25,699 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\sqlparse\utils.py first seen with mtime 1698461223.8706524
